id,obj,area,area%
"2763",Ebene bis flach wellige Platte,3239.52934283121,0.016509648231563
"2763",Flach wellige Platte,179065.2966824,0.912572397360415
"2763",Wellige Platte mit Becken,13915.5475038597,0.0709179544080139
"2764",Flach wellige Platte,196220.373529093,1
"2765",Niederungsebene,190280.38198803,0.969727957223656
"2765",Streckhang,5939.99154106232,0.0302720427763411
"2766",Streckhang,117980.870019421,0.601267176784413
"2766",Ebene Platte,78239.5035096708,0.39873282321558
"2767",Ebene Platte,196220.373529093,1
"2768",Ebene Platte,196220.373529093,1
"2769",Kuppige Platte,5869.60610149996,0.029913336703692
"2769",Stufenhang,501.706879009718,0.00255685416344054
"2769",Ebene Platte,189849.060548583,0.967529809132869
"2774",Wellige Platte,130214.215127056,0.663612105028173
"2774",,66006.1584020383,0.336387894971833
"2775",Ebene Platte,5444.07944955324,0.027744720650764
"2775",Wellige Platte,190776.294079543,0.972255279349253
"2776",,187537.946055578,0.955751651485736
"2776",Hügel-Mulden-Komplex,8682.42747351677,0.0442483485142763
"2777",Ebene Platte,36858.0877511704,0.187840269021329
"2777",,166.871264151926,0.000850427818226452
"2777",Hügel-Mulden-Komplex,159195.414513771,0.81130930316045
"2778",Ebene Platte,195185.124005235,0.994724046717277
"2778",Ebene Platte,1035.24952385424,0.00527595328270409
"2779",,5078.8028344242,0.0258831575084694
"2779",Ebene Platte,191141.570694669,0.974116842491533
"2780",Niederungsebene,55660.7610266687,0.283664535061219
"2780",Tal mit Boden,140559.612502422,0.716335464938771
"2770",Wellige Platte mit Senken,196220.373529093,1
"2771",Wellige Platte mit Senken,196220.373529093,1
"2772",Tal ohne Boden,196220.373529093,1
"2773",Wellige Platte,61033.0778023591,0.311043530825356
"2773",Tal ohne Boden,21709.0935019453,0.110636286698978
"2773",Flach wellige Platte,113478.202224794,0.578320182475693
"2781",,44551.8639164088,0.227050143240112
"2781",Tal mit Boden,151668.509612684,0.772949856759889
"2606",Wellige Platte mit Senken,196220.373529093,1
"2607",Tal ohne Boden,15037.5594344866,0.0766360758774985
"2607",Wellige Platte mit Senken,177954.164962745,0.906909724827124
"2607",Flach wellige Platte,3228.64913185957,0.0164541992953697
"2610",Wellige Platte,196220.373529093,1
"2611",Hügel-Mulden-Komplex,196220.373529093,1
"2612",Hügel-Mulden-Komplex,196220.373529093,1
"2613",Ebene Platte,196220.373529093,1
"2614",Ebene Platte,104718.356584305,0.533677286924433
"2614",Flach wellige Platte,91502.016944786,0.466322713075559
"2439",Tal ohne Boden,98855.0385407634,0.503795996118143
"2440",Wellige Platte mit Senken,196220.373529093,1
"2446",Hügel-Mulden-Komplex,196220.373529093,1
"2447",Ebene Platte,196220.373529093,1
"2602",Ebene Platte,28387.3450988907,0.14467073213823
"2602",Niederungsebene,167833.028430201,0.855329267861765
"2603",Flach wellige Platte,196220.373529093,1
"2604",Wellige Platte,196160.655836941,0.999695660083215
"2604",Stufenhang,59.71769214833,0.000304339916769529
"2605",,16665.95960975,0.0849349092044155
"2605",Wellige Platte mit Senken,179554.413919344,0.915065090795593
"2615",Niederungsebene,2508.14959425017,0.0127823097527551
"2615",Tal mit Boden,193712.223934844,0.987217690247253
"2616",Tal mit Boden,196220.373529093,1
"1442",Flach wellige Platte,192691.319842028,0.982014845739035
"1442",Niederung,3529.05368706534,0.0179851542609672
"1276",Kuppige Platte,787.219240405804,0.0040119138815577
"1276",Tal ohne Boden,5145.02269123931,0.0262206344769621
"1277",,13154.9324175639,0.0670416235631795
"1277",Ebene Platte,183065.441111527,0.932958376436812
"1112",,89660.9990799357,0.45694031393046
"1112",Flach wellige Platte,106559.374449157,0.543059686069542
"947",,56639.5594519731,0.288652796003242
"947",Hügel-Mulden-Komplex,116902.896137742,0.595773486897419
"947",Flach wellige Platte,4537.00678984215,0.0231219964993567
"1443",Ebene Platte,163505.083428582,0.833272715202225
"1443",Niederung,32715.2901005126,0.166727284797784
"1444",,9847.80370558526,0.0501874679395877
"1444",Kuppige Platte,186372.569823506,0.949812532060404
"1278",Ebene Platte,787.656856941396,0.00401414411141468
"1278",Niederung,79370.2067432064,0.404495238265554
"1938",Flach wellige Platte,47181.6682075886,0.240452443133247
"1938",Ebene Platte,149038.705321505,0.759547556866758
"1939",Ebene Platte,1345.66196038829,0.00685791152155142
"1939",Flach wellige Platte,151214.697184992,0.770637087603809
"1939",Hügel-Mulden-Komplex,43660.0143837098,0.222505000874624
