sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Czerniak et al 2016|2016|C14|Poz-43964|5310|40||Zelgno|Siedlung|pit A90 at a depth of 1.1m|Neolithikum|BKK / Late Lengyel IIB|Knochen||Poland|||Czerniak et al. 2016|Czerniak unpublished report for Institute of Archeology and Ethnology University of Gdansk, Czerniak et al 2016
Czerniak et al 2016|2016|C14|Poz-43962|5370|40||Zelgno|Siedlung|Storage pit A10 at a depth of 1.2m|Neolithikum|BKK / Late Lengyel IIB|Knochen||Poland|||Czerniak et al. 2016|Czerniak unpublished report for Institute of Archeology and Ethnology University of Gdansk, Czerniak et al 2016
Kulczycka-Leciejewiczowa 1987|1987|C14|Bln-1268|5920|80||Niemcza|Siedlung|Pit 24|Neolithikum|SBK III|||Poland|||Kulczycka-Leciejewiczowa 1987|aus der englischen Zusammenfassung
Kulczycka-Leciejewiczowa 1993|1993|C14|Bln-1737|6030|50||Stary Zamek 2a|Siedlung|post hole 18|Neolithikum|SBK|||Poland|||Kulczycka-Leciejewiczowa 1993|S. 10, additional information from Czarniak 2012, 55
Kulczycka-Leciejewiczowa 1993|1993|C14|Bln-1738|5900|80||Stary Zamek 2a|Siedlung|post hole 19|Neolithikum|SBK|||Poland|||Kulczycka-Leciejewiczowa 1993|S. 10, additional information from Czarniak 2012, 55
Czarniak 2012|2012|C14|Bln-3851|5730|80||Strachów 2|Siedlung|Pit 74|Neolithikum|SBK|||Poland|||Czarniak 2012|S. 70
Czarniak 2012|2012|C14|KN-1375|5690|55||Racibórz-Ocice|Siedlung|Pit 9|Neolithikum|SBK|||Poland|||Czarniak 2012|S. 70
Kulczycka-Leciejewiczowa 1993|1993|C14|GrN-14019|5380|120||Tyniec Mały 17|Siedlung|Grube 21|Neolithikum|Jordansmühl|||Poland|||Kulczycka-Leciejewiczowa 1993|S. 10, additional information from Czarniak 2012, 141
Kulczycka-Leciejewiczowa 1993|1993|C14|GrN-14018|5170|70||Tyniec Mały 17|Siedlung||Neolithikum|Jordansmühl|||Poland|||Kulczycka-Leciejewiczowa 1993|S. 10, additional information from Grygiel 2008, 2033
SCSchmidt|2025|C14|Poz-194393|5720|40|5,3|Bochow 2|Siedlung||Neolithikum|Rössen||horse|Germany|||PhD Schmidt|
SCSchmidt|2025|C14|Poz-194394|5690|40|4,6|Bochow 2|Siedlung||Neolithikum|Rössen||horse|Germany|||PhD Schmidt|
SCSchmidt|2025|C14|Poz-194901|5560|40|3,5|Bochow 2|Siedlung||Neolithikum|Rössen||horse|Germany|||PhD Schmidt|very small amount of collagen left (0,2 %) so probably imprecise
Czerniak 2020|2020|C14|Poz-99479|5850|40|4|Nowe Objezierze 22|Kreisgrabenanlage|Ditch A4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99477|5890|40|4,5|Nowe Objezierze 22|Kreisgrabenanlage|Ditch A4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99611|5920|40|3,6|Nowe Objezierze 22|Kreisgrabenanlage|Ditch A4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99478|5875|30|3,5|Nowe Objezierze 22|Kreisgrabenanlage|Ditch A4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99612|5850|40|3|Nowe Objezierze 22|Kreisgrabenanlage|Ditch B4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99613|5840|40|2,8|Nowe Objezierze 22|Kreisgrabenanlage|Ditch B4|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|
Czerniak 2020|2020|C14|Poz-99476|5750|35|2,9|Nowe Objezierze 22|Kreisgrabenanlage|Ditch A3|Neolithikum|SBK Iva|Knochen||Poland|||Czerniak 2020|small amount of collagen (0,7 %)
