sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-14909|5187|30|-26,1|Baabe 2||layer E|Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ID ALM 2005/960, 2670, Wandscherbe der TBK
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-14908|5149|29|-24,98|Baabe 2||layer E|Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ID ALM 2005/960, 2674, unverzierte Randscherbe der TBK
Kotula/Piezonka/Terberger 2015|2015|C14|KIA-29951|5134|44||Baabe 2||layer D/E|Neolithikum|TBK|Holz, Knochen oder Geweih||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-14907|5309|29|-21,33|Baabe 2||layer D|Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ID ALM 2005/960, 2660, Wandscherbe der TBK, Achtung Reservoir Effekt!
Kotula/Piezonka/Terberger 2015|2015|C14|KIA-29947|5284|33||Baabe 2||layer D|Neolithikum|TBK|Holz, Knochen oder Geweih||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-14910|5273|37||Baabe 2||layer D|Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ID ALM 2005/960, 2656, Randscherbe der TBK mit Eindrücken unterhalb des Randes, Achtung Reservoir Effekt!
Kotula/Piezonka/Terberger 2015|2015|C14|KIA-29944|5141|38||Baabe 2||layer D|Neolithikum|TBK|Holz, Knochen oder Geweih||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|KIA-29948|5285|33||Baabe 2||layer C/D|Neolithikum|TBK|Holz, Knochen oder Geweih||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|KIA-29946|5022|32||Baabe 2||layer C|Neolithikum|TBK|Holz, Knochen oder Geweih||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-14912|5199|45||Parow 4|||Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ID ALM 1995/2003, 3, TBK Randscherbe mit Eindrücken unterhalb des Randes
