region,name,start,end,level,add,colour,Quelle,notes,placement
Großpolen,Samborzec-Opatów,-4800,-4600/-4600,2,TRUE,Lengyel,Grygiel 2008,big sd in 14C,-4700
Großpolen,Pleszów-Mlodnica,-4600/-4600,-4300/-4300,2,TRUE,Lengyel,Grygiel 2008,big sd in 14C,-4500
Großpolen,Wyciąże – Złotniki,-4300/-4300,-4100/-4100,2,TRUE,Lengyel,Grygiel 2008,big sd in 14C,-4200
Großpolen,Malice,-4700,-4100,1,FALSE,Lengyel,Grygiel 2008,big sd in 14C,-4500
Großpolen,Epi-Rös/-Lengyel,-4100,-4000,1,TRUE,Epi-Rössen/-Lengyel,Grygiel 2008,big sd in 14C,-4050
Mesolithikum Norddeutschland,FBG,-4600_-4600,-4000_-3800,2,TRUE,Mesolithikum,"Manning 2014, Wetzel 2021",Speisekrusten,-4300
Brandenburg,LBK ,-5200,-5000/-4900,2,TRUE,LBK,Wetzel 2021,,-5050
Brandenburg,SBK ,-4850_-4850,-4500,2,TRUE,SBK,Wetzel 2021,,-4800
Brandenburg,Rössen,-4700,-4350,2,TRUE,Rössen,Wetzel 2021,,-4600
Brandenburg,BKK ,-4650,-4300,2,FALSE,Lengyel,Wetzel 2021,,-4400
Brandenburg,Michelsberg,-4235,-4045,2,TRUE,Michelsberg,Wetzel 2021,,-4100
Brandenburg,frühe TBK,-4100,-3600,2,FALSE,TBK,Wetzel 2021,,-3900
Mähren/Niederösterreich,LBK ,-5400,-4900/-4900,2,FALSE,LBK,Trampota/Kvetina 2020,1sigma,-5050
Brandenburg (o. HVL),LBK ,-5300,-4800,2,FALSE,LBK,Schmidt 2026,2sigma,-4900
Europa,LBK ,-5398,-4788,2,FALSE,LBK,Manning et al. 2014,mean and sd based,-4900
Großpolen,LBK ,-5300,-4900,1,FALSE,LBK,Grygiel 2008,big sd in 14C,-5000
Brandenburg,LBK ,-5200,-5000/-4900,2,FALSE,LBK,Wetzel 2021,,-5050
