id,obj,area,area%
"2001",Böden aus geringmächtigem Torf mit mineralischen Böden,51002.5533648805,0.0649812153136532
"2001",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,169860.173533971,0.216415057314088
"2001",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,260026.406591005,0.331293843134538
"2001",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,208540.707486175,0.26569706261318
"2001",Böden aus Sand,95451.6531404077,0.121612821624573
"2002",Böden aus Sand mit Böden aus Torf in holozänen Tälern,602857.154498334,0.768086850075381
"2002",Böden aus Sand mit Böden aus Torf in holozänen Tälern,182024.339618084,0.231913149924625
"2003",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,14569.8871087796,0.0185631680935244
"2003",Böden aus Sand mit Böden aus Torf in holozänen Tälern,7266.49591244348,0.00925808031774758
"2003",Böden aus Sand in pleistozänen Tälern,472091.588722499,0.601481360258034
"2003",Böden aus Sand mit Böden aus Torf in holozänen Tälern,207844.94810666,0.264810611110971
"2003",Böden aus Lehmsand über Lehm,83108.5742660258,0.105886780219715
"2004",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,385664.67534913,0.491366758217805
"2004",Böden aus Lehmsand über Lehm,399216.818767287,0.508633241782198
"2005",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,573951.620427109,0.731258954032595
"2005",Böden aus Sand über Lehm mit Böden aus Torf,55246.5472055382,0.0703883931774088
"2005",Böden aus Lehmsand über Lehm,155683.326483763,0.198352652789991
"2006",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,643950.254370254,0.820442651785523
"2006",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,140931.239746158,0.179557348214475
"2007",Böden aus geringmächtigem Torf mit mineralischen Böden,113467.194494018,0.144566020914729
"2007",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,124956.702904734,0.15920454723602
"2007",Böden aus Sand,18744.9357963747,0.0238825044760126
"2007",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,79407.0540171687,0.101170755856031
"2007",Böden aus Lehmsand über Lehm,448305.606904127,0.571176171517218
"2008",Böden aus Lehmsand über Lehm,784881.494116413,1
"2009",Böden aus Sand mit Böden aus Sand über Lehm,180399.196411336,0.229842591223815
"2009",Böden aus Lehmsand über Lehm,604482.297705078,0.770157408776186
"2010",Böden aus Sand über Lehm mit Böden aus Torf,777088.105597878,0.990070617568441
"2010",Böden aus Sand mit Böden aus Sand über Lehm,7793.38851853997,0.00992938243156496
"2011",Böden aus Sand über Lehm mit Böden aus Torf,301454.360683292,0.384076275135849
"2011",Böden aus geringmächtigem Torf mit mineralischen Böden,274192.463511947,0.349342500195677
"2011",Böden aus Sand mit Böden aus Sand über Lehm,130206.480368618,0.165893171573881
"2012",Böden aus Sand mit Böden aus Sand über Lehm,368747.055592142,0.46981239633795
"2012",Böden aus geringmächtigem Torf mit Böden aus mächtigem Torf,18416.8080122518,0.0234644441871886
"2012",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,366955.286600246,0.467529543441904
"2012",Böden aus Lehmsand über Lehm,30762.3439117769,0.0391936160329629
"2013",Böden aus Sand mit Böden aus Sand über Lehm,530193.570237455,0.675507798580885
"2013",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,254687.923878958,0.324492201419113
"2014",Böden aus Sand,305611.479944207,0.389372768035831
"2014",Böden aus Sand,479270.014172201,0.610627231964162
"2015",Böden aus Sand in pleistozänen Tälern mit Böden aus Flugsand,93016.6295569485,0.118510412405204
"2015",Böden aus geringmächtigem Torf mit Böden aus mächtigem Torf,460739.470784226,0.587017880072338
"2015",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,231125.393775242,0.294471707522462
"2016",Böden aus Lehmsand über Beckenbildungen,107642.45422671,0.13714484929714
"2016",Böden aus Lehmsand über Lehm,637327.866125677,0.812005214676585
"2016",Böden aus Sand mit Böden aus Torf in holozänen Tälern,39911.1737640303,0.0508499360262795
"2017",Böden aus Lehmsand über Beckenbildungen,218681.075964521,0.278616679847578
"2017",Böden aus Lehmsand über Lehm,546924.554675081,0.696824372564403
"2017",Böden aus Sand mit Böden aus Torf in holozänen Tälern,19275.8634768118,0.02455894758802
"2018",Böden aus Lehmsand über Lehm,482440.662175587,0.61466688384429
"2018",Böden aus geringmächtigem Torf mit Böden aus mächtigem Torf,302440.831940831,0.385333116155715
"2019",Versiegelungsflächen mit Böden aus Industrie- und Bauschutt führenden Substraten,309419.008379099,0.394223855064171
"2019",Versiegelungsflächen mit Böden aus Industrie- und Bauschutt führenden Substraten,39133.9857046354,0.0498597380598083
"2019",Böden aus Lehmsand/Lehm über Schluff,436328.500032679,0.555916406876021
"2020",Böden aus Sand in holozänen Tälern,6686.83594205561,0.00851954848239015
"2020",Böden aus anthropogen abgelagerten natürlichen Substraten,59737.8192929865,0.0761106227383241
"2020",Versiegelungsflächen mit Böden aus Bauschutt führenden Substraten,42285.9753036663,0.0538756176832402
"2020",Versiegelungsflächen mit Böden aus Industrie- und Bauschutt führenden Substraten,12977.4972591068,0.0165343397141964
"2020",Versiegelungsflächen mit Böden aus Bauschutt führenden Substraten,604482.246620747,0.770157343690779
"2020",Böden aus Sand,58711.1196978527,0.0748025276910717
"2021",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,96643.0664847144,0.123130774784684
"2021",Böden aus Sand mit Böden aus Sand über Lehm,329610.21013602,0.419949014732576
"2021",Böden aus Sand mit Böden aus Sand über Lehm,358628.217495684,0.456920210482747
"2022",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,248129.672282318,0.316136479382345
"2022",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,536751.821834092,0.68386352061765
"2023",Böden aus geringmächtigem Torf mit mineralischen Böden,87997.7102680151,0.112115919317322
"2023",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,214018.786156112,0.272676560423997
"2023",Böden aus Lehmsand über Lehm,482864.997692292,0.615207520258687
"2024",Böden aus Lehmsand über Lehm,1722.8117625186,0.00219499602861457
"2024",Böden aus Lehmsand über Lehm,783158.682353901,0.997805003971394
"2025","Böden aus Flugsand, z.T. Böden aus Flugsand über Sand anderer Substratgenese",505699.02067638,0.644299839488093
"2025",Böden aus geringmächtigem Torf mit Böden aus mächtigem Torf,89002.0868176969,0.113395573070418
"2025",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,190180.38662234,0.242304587441493
"2026",Böden aus Sand über Lehm mit Böden aus Torf,127040.950880219,0.161860041079497
"2026",Böden aus Lehmsand über Lehm,471986.183652382,0.601347066009913
"2026",Böden aus Lehmsand über Lehm,185854.359583814,0.236792892910593
"2027",Böden aus Lehmsand über Lehm,591757.740835383,0.753945334768734
"2027",Böden aus Lehmsand über Lehm,8013.04822393194,0.0102092459613316
"2027",Böden aus mächtigem Torf mit Böden aus geringmächtigem Torf,185110.705057103,0.235845419269941
"2028",Böden aus Sand mit Böden aus Sand über Lehm,784881.494116413,1
"2029",Böden aus Sand mit Böden aus Sand über Lehm,349512.719906218,0.445306358381764
"2029",Böden aus Sand über Lehm mit Böden aus Torf,422825.601722353,0.538712665404797
"2029",Böden aus Lehm/Schluff/Ton über Sand,12543.1724878422,0.0159809762134382
"2030",Versiegelungsflächen mit Böden aus Industrie- und Bauschutt führenden Substraten,46521.3932629903,0.0592718692079269
"2030",Böden aus Sand in pleistozänen Tälern,279990.586016092,0.356729758715096
"2030",Böden aus Sand mit Böden aus Torf in holozänen Tälern,458369.514837327,0.583998372076972
"2031",Böden aus Sand/Lehmsand über Lehm mit Böden aus Sand,190635.050309635,0.24288386430138
"2031",Böden aus Sand mit Böden aus Sand über Lehm,281701.295161149,0.358909335068826
"2031",Böden aus Lehmsand über Lehm,312545.148645629,0.398206800629793
