id,obj,area,area%
"2001",bb_admin3,88733.8748736441,0.0282634625541573
"2001",bb_admin3,3050792.10159214,0.971736537445849
"2002",bb_admin3,3139525.97646576,1
"2003",bb_admin3,3139525.97646576,1
"2004",bb_admin3,3139525.97646576,1
"2005",bb_admin3,3139525.97646576,1
"2006",bb_admin3,3139525.97646576,1
"2007",bb_admin3,3139525.97646576,1
"2007",Schwarzerden,2948263.5179573,0.939079192227686
"2008",bb_admin3,3139525.97646576,1
"2008",Schwarzerden,638024.015069176,0.203223040628387
"2009",bb_admin3,3139525.97646576,1
"2009",Schwarzerden,231650.609652921,0.0737852183385008
"2010",bb_admin3,3139525.97646576,1
"2011",bb_admin3,2259679.93172853,0.719751946206959
"2012",bb_admin3,3139525.97646576,1
"2012",Schwarzerden,840369.087098848,0.267673876055924
"2013",bb_admin3,3139525.97646576,1
"2014",bb_admin3,3139525.97646576,1
"2015",bb_admin3,2156251.80526261,0.686808079125996
"2015",bb_admin3,983274.171203141,0.313191920874003
"2016",bb_admin3,3139525.97646576,1
"2016",Schwarzerden,2841367.75475657,0.905030815497556
"2017",bb_admin3,3139525.97646576,1
"2017",Schwarzerden,2668299.15825849,0.84990510614034
"2018",bb_admin3,3139525.97646576,1
"2019",bb_admin3,3139525.97646576,1
"2020",bb_admin3,3139525.97646576,1
"2021",bb_admin3,3139525.97646576,1
"2022",bb_admin3,3139525.97646576,1
"2023",bb_admin3,3139525.97646576,1
"2023",Schwarzerden,189675.36896811,0.0604152889289458
"2024",bb_admin3,3139525.97646576,1
"2024",Schwarzerden,711154.23189984,0.226516435038516
"2025",bb_admin3,3139525.97646576,1
"2026",bb_admin3,3139525.97646576,1
"2026",Schwarzerden,1833236.48057662,0.583921424545859
"2027",bb_admin3,3107636.83663104,0.989842689605448
"2028",bb_admin3,3139525.97646576,1
"2029",bb_admin3,2519650.54552525,0.80255763590199
"2030",bb_admin3,3139525.97646576,1
"2031",bb_admin3,3139525.97646576,1
"2032",bb_admin3,3139525.97646576,1
"2033",bb_admin3,3139525.97646576,1
"2033",Schwarzerden,1494890.21641713,0.476151567982871
"2034",bb_admin3,3139525.97646576,1
"2034",Schwarzerden,2250024.56786775,0.716676525288909
"2035",bb_admin3,3139525.97646576,1
"2035",Schwarzerden,2944424.95240396,0.937856534545566
"2036",bb_admin3,3139525.97646576,1
"2037",bb_admin3,3139525.97646576,1
"2038",bb_admin3,3139525.97646576,1
"2039",bb_admin3,3139525.97646576,1
"2039",Schwarzerden,1565625.37439378,0.49868208963069
"2040",bb_admin3,3139525.97646576,1
"2041",bb_admin3,3139525.97646576,1
"2042",bb_admin3,3139525.97646576,1
"2043",bb_admin3,3139525.97646576,1
"2044",bb_admin3,3139525.97646576,1
"2044",Schwarzerden,2181615.03116532,0.694886759185606
"2045",bb_admin3,3139525.97646576,1
"2045",Schwarzerden,2236105.25287671,0.712242953120568
"2046",bb_admin3,3139525.97646576,1
"2046",Schwarzerden,774679.61285575,0.246750502675511
"2047",bb_admin3,3139525.97646576,1
"2048",bb_admin3,3139525.97646576,1
"2049",bb_admin3,3139525.97646576,1
"2050",bb_admin3,3139525.97646576,1
"3001",bb_admin3,3139525.97646576,1
"3002",bb_admin3,3139525.97646576,1
"3003",bb_admin3,3139525.97646576,1
"3004",bb_admin3,3139525.97646576,1
"3004",Schwarzerden,685159.312797909,0.218236548426081
"3005",bb_admin3,3139525.97646576,1
"3005",Schwarzerden,1980902.27481663,0.630955848005622
"3006",bb_admin3,3139525.97646576,1
"3007",bb_admin3,3139525.97646576,1
"3007",Schwarzerden,649565.617815383,0.206899265266349
"3008",bb_admin3,3139525.97646576,1
"3008",Schwarzerden,556066.178479841,0.17711787787334
"3009",bb_admin3,3139525.97646576,1
"3009",Schwarzerden,2568571.90578556,0.818140039305254
"3010",bb_admin3,3139525.97646576,1
"3011",bb_admin3,3139525.97646576,1
"3011",Schwarzerden,1334894.54817275,0.425189840179462
"3012",bb_admin3,3139525.97646576,1
"3013",bb_admin3,3139525.97646576,1
"3014",bb_admin3,3139525.97646576,1
"3014",Schwarzerden,1683833.88008986,0.536333794563914
"3015",bb_admin3,3139525.97646576,1
"3015",Schwarzerden,1751159.03275791,0.557778163291144
"3016",bb_admin3,3139525.97646576,1
"3016",Schwarzerden,1556850.96039291,0.495887268353005
"3017",bb_admin3,3139525.97646576,1
