"";"AREA";"PERIMETER";"NR_HAUPT";"NAME_HAUPT";"NR_UNTER";"NAME_UNTER";"FLäCHE"
"56";504775272,99707;105183,00516;85;"FLÄMING";853;"Zentraler Fläming";50477,527
"57";713751269,32293;152096,20742;82;"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";826;"Lieberoser Heide und Schlaubegebiet";71375,127
"58";366819211,84874;107583,40629;82;"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";827;"Gubener Land mit Diehloer Hügeln";36681,921
"59";251403427,56245;78142,31145;82;"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";823;"Zossen-Teupitzer Platten- und Hügelland";25140,343
"60";248270006,79929;72854,02578;85;"FLÄMING";855;"Belziger Vorfläming";24827,001
"61";419979016,12987;115607,27091;81;"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";816;"Luckenwalder Heide";41997,902
"62";40509031,49329;32650,37707;85;"FLÄMING";851;"Westliche Fläminghochfläche";4050,903
"63";199349838,3951;64755,98795;82;"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";825;"Leuthener Sandplatte";19934,984
"64";659839608,32558;153346,39515;83;"SPREEWALD";830;"Malxe-Spree-Niederung";65983,961
"65";122165181,50313;123518,38748;82;"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";829;"Guben-Neißetal";12216,518
"66";362702216,34801;119160,42201;85;"FLÄMING";856;"Nördliches Fläming-Waldhügelland";36270,222
"67";505731860,85131;146052,29099;85;"FLÄMING";857;"Östliche Fläminghochfläche";50573,186
"68";24324952,51422;31937,91597;85;"FLÄMING";854;"Rosslau-Wittenberger Vorfläming";2432,495
"69";170560217,89818;105249,96606;85;"FLÄMING";858;"Südliches Fläminghügelland";17056,022
"70";685615496,44238;128009,91347;84;"LAUSITZER BECKEN UND HEIDELAND";840;"Luckau-Calauer Becken";68561,55
"71";689200044,33422;226428,50902;84;"LAUSITZER BECKEN UND HEIDELAND";842;"Lausitzer Grenzwall";68920,004
"72";216467616,68203;73631,20073;83;"SPREEWALD";831;"Cottbusser Schwemmsandfächer";21646,762
"73";1051693665,91551;276567,92378;88;"ELBE-MULDE-TIEFLAND";881;"Elbe-Elster Tiefland";105169,367
"74";497086956,72786;121605,8011;84;"LAUSITZER BECKEN UND HEIDELAND";841;"Cottbusser Sandplatte";49708,696
"75";464809892,81829;94549,64028;84;"LAUSITZER BECKEN UND HEIDELAND";843;"Kirchhain-Finsterwalder Becken";46480,989
"76";657673738,24791;195710,68645;84;"LAUSITZER BECKEN UND HEIDELAND";844;"Niederlausitzer Randhügel";65767,374
"77";38616732,95409;62234,38564;89;"OBERLAUSITZER HEIDELAND";891;"Muskauer Heide";3861,673
"78";131220998,54949;74089,51199;89;"OBERLAUSITZER HEIDELAND";892;"Königsbrück-Ruhlander Heiden";13122,1
"79";42389522,48686;57301,63558;46;"SÄCHSISCHES HÜGELLAND";462;"Großenhainer Pflege";4238,952
