"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"165";115;"Uckermark";"Luetzlow";NA;NA;"5899749.2340105";"434549.91079246";NA;"SS";"3115";"LBK Siedlungen";37898;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Luetzlow 61";NA;NA;61;"61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434549.91079246 5899749.2340105)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";434549,91;5899749,23
"166";116;"Uckermark";"Meichow";NA;NA;"5894026.56395957";"430770.36194088";NA;"SS";"3116";"LBK Siedlungen";40938;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Meichow 16";NA;"MIW: A. Grothe GV-Maßnahme";16;"16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ausgrabung";NA;"Siedlung";NA;NA;"Point (430770.36194088 5894026.56395957)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";430770,36;5894026,56
"167";117;"Uckermark";"Potzlow";NA;NA;"5897009.4565892";"422686.62794879";NA;"SS";"3117";"LBK Siedlungen";48249;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Potzlow 16";NA;NA;16;"16/8 (16)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422686.62794879 5897009.4565892)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422686,63;5897009,46
"168";118;"Uckermark";"Prenzlau";NA;NA;"5906831.50840265";"424416.04059148";NA;"SS";"3118";"LBK Siedlungen";17581;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 30";NA;NA;30;"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424416.04059148 5906831.50840265)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424416,04;5906831,51
"169";119;"Uckermark";"Prenzlau";NA;NA;"5905691.9621924";"424615.9484832";NA;"SS";"3119";"LBK Siedlungen";17609;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 58";NA;NA;58;"58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424615.9484832 5905691.9621924)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424615,95;5905691,96
"170";120;"Uckermark";"Prenzlau";NA;NA;"5906726.55081631";"424376.05547142";NA;"SS";"3120";"LBK Siedlungen";17646;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 95";NA;NA;95;"95";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424376.05547142 5906726.55081631)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424376,06;5906726,55
"171";121;"Uckermark";"Prenzlau";NA;NA;"5906431.66422218";"424805.88036966";NA;"SS";"3121";"LBK Siedlungen";17649;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 98";NA;NA;98;"98";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424805.88036966 5906431.66422218)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424805,88;5906431,66
"172";122;"Uckermark";"Prenzlau";NA;NA;"5905562.03673057";"422496.79492799";NA;"SS";"3122";"LBK Siedlungen";17679;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 128";NA;NA;128;"128";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422496.79492799 5905562.03673057)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422496,79;5905562,04
"173";123;"Uckermark";"Prenzlau";NA;NA;"5909095.59322138";"425293.71355611";NA;"SS";"3123";"LBK Siedlungen";17685;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 134";NA;NA;134;"134";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425293.71355611 5909095.59322138)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";425293,71;5909095,59
"174";124;"Uckermark";"Prenzlau";NA;NA;"5910899.8577202";"426575.22006857";NA;"SS";"3124";"LBK Siedlungen";17709;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 158";NA;NA;158;"158";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (426575.22006857 5910899.8577202)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";426575,22;5910899,86
"175";125;"Uckermark";"Prenzlau";NA;NA;"5906541.61799604";"425015.79755713";NA;"SS";"3125";"LBK Siedlungen";17721;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 170";NA;NA;170;"170";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425015.79755713 5906541.61799604)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";425015,8;5906541,62
"176";126;"Uckermark";"Prenzlau";NA;NA;"5906363.69065162";"424877.85085237";NA;"SS";"3126";"LBK Siedlungen";17764;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 214";NA;NA;214;"214";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424877.85085237 5906363.69065162)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424877,85;5906363,69
"177";127;"Uckermark";"Prenzlau";NA;NA;"5906766.52545879";"425255.70397041";NA;"SS";"3127";"LBK Siedlungen";28122;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 224";NA;NA;224;"224";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425255.70397041 5906766.52545879)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";425255,7;5906766,53
"178";128;"Uckermark";"Prenzlau";NA;NA;"5906641.60724946";"422266.89839261";NA;"SS";"3128";"LBK Siedlungen";31743;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 256";NA;NA;256;"256";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422266.89839261 5906641.60724946)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422266,9;5906641,61
"179";129;"Uckermark";"Prenzlau";NA;NA;"5905691.93985183";"426715.10865621";NA;"SS";"3129";"LBK Siedlungen";26444;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 263";NA;NA;263;"263";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (426715.10865621 5905691.93985183)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";426715,11;5905691,94
"180";130;"Uckermark";"Prenzlau";NA;NA;"5906661.57074898";"424945.82682765";NA;"SS";"3130";"LBK Siedlungen";27473;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 277";NA;NA;277;"277";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424945.82682765 5906661.57074898)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424945,83;5906661,57
"181";131;"Uckermark";"Prenzlau";NA;NA;"5906331.70325795";"424895.84331351";NA;"SS";"3131";"LBK Siedlungen";27474;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 278";NA;NA;278;"278";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424895.84331351 5906331.70325795)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";424895,84;5906331,7
"182";132;"Uckermark";"Prenzlau";NA;NA;"5906276.71690478";"425680.52879373";NA;"SS";"3132";"LBK Siedlungen";48005;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 406";NA;NA;406;"406";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425680.52879373 5906276.71690478)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";425680,53;5906276,72
"183";133;"Uckermark";"Roepersdorf";NA;NA;"5904850.31698486";"422919.61819091";NA;"SS";"3133";"LBK Siedlungen";17812;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Roepersdorf 23";NA;NA;23;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422919.61819091 5904850.31698486)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422919,62;5904850,32
"184";134;"Uckermark";"Schwaneberg";NA;NA;"5908820.51180613";"443258.52345132";NA;"SS";"3134";"LBK Siedlungen";32056;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schwaneberg 48";NA;NA;48;"48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (443258.52345132 5908820.51180613)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";443258,52;5908820,51
"185";135;"Uckermark";"Trebenow";NA;NA;"5921075.79975937";"425335.82420193";NA;"SS";"3135";"LBK Siedlungen";32054;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Trebenow 29";NA;NA;29;"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425335.82420193 5921075.79975937)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";425335,82;5921075,8
"186";136;"Uckermark";"Vietmannsdorf";NA;NA;"5879132.8234393";"402564.48885598";NA;"SS";"3136";"LBK Siedlungen";26548;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Vietmannsdorf 23";NA;NA;23;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (402564.48885598 5879132.8234393)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MECKLENBURGISCHE SEENPLATTE";"Templiner PLatte";402564,49;5879132,82
"187";137;"Uckermark";"Wallmow";NA;NA;"5912289.16326229";"439585.03008739";NA;"SS";"3137";"LBK Siedlungen";46047;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Wallmow 32";NA;NA;32;"32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (439585.03008739 5912289.16326229)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";439585,03;5912289,16
"188";138;"Uckermark";"Wallmow";NA;NA;"5912614.03807386";"439136.21310661";NA;"SS";"3138";"LBK Siedlungen";50101;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Wallmow 38";NA;NA;38;"38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (439136.21310661 5912614.03807386)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";439136,21;5912614,04
"189";139;"Uckermark";"Zollchow";NA;NA;"5901033.84674022";"422656.68276748";NA;"SS";"3139";"LBK Siedlungen";18477;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zollchow 7";NA;NA;7;"7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422656.68276748 5901033.84674022)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422656,68;5901033,85
"190";140;"Uckermark";"Zollchow";NA;NA;"5900863.91281546";"422836.60897285";NA;"SS";"3140";"LBK Siedlungen";18483;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zollchow 13";NA;NA;13;"13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422836.60897285 5900863.91281546)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422836,61;5900863,91
"191";141;"Uckermark";"Zollchow";NA;NA;"5901173.78915331";"422806.62426761";NA;"SS";"3141";"LBK Siedlungen";18490;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zollchow 20";NA;NA;20;"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422806.62426761 5901173.78915331)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";422806,62;5901173,79
"192";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4549";"GG";1549;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1549";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5925647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";420509,67;5925647,67
"193";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4595";"GG";1595;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1595";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5915647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";410509,67;5915647,67
"194";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4596";"GG";1596;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1596";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5915647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";420509,67;5915647,67
"195";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4597";"GG";1597;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1597";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5915647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";430509,67;5915647,67
"196";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4598";"GG";1598;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1598";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5915647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";440509,67;5915647,67
"197";NA;"Prignitz";"unbek.";NA;NA;NA;NA;NA;NA;"4642";"GG";1642;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1642";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (300509.6675 5905647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Ruhner Berge";300509,67;5905647,67
"198";NA;"Prignitz";"unbek.";NA;NA;NA;NA;NA;NA;"4643";"GG";1643;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1643";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (310509.6675 5905647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Prignitz";310509,67;5905647,67
"199";NA;"Prignitz";"unbek.";NA;NA;NA;NA;NA;NA;"4644";"GG";1644;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1644";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (320509.6675 5905647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Prignitz";320509,67;5905647,67
"200";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4645";"GG";1645;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1645";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5905647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Woldegk-Feldberger Hügelland";400509,67;5905647,67
"201";NA;"Uckermark";"unbek.";NA;NA;NA;NA;NA;NA;"4646";"GG";1646;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 1646";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5905647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";410509,67;5905647,67
