"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"11";11;"Uckermark";"Bruessow";"67";"67";"5919326.33824594";"440489.74319084";16446;"EE";"2011";"LBK Dechsel";16446;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 67";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;NA;NA;NA;"Point (440489.74319084 5919326.33824594)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";440489,74;5919326,34
"12";12;"Uckermark";"Dedelow";"5";"5";"5912679.21794293";"419797.95038076";16585;"EE";"2012";"LBK Dechsel";16585;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 5";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (419797.95038076 5912679.21794293)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";419797,95;5912679,22
"13";13;"Uckermark";"Dedelow";"11";"11";"5911879.54957154";"418698.38178186";16591;"EE";"2013";"LBK Dechsel";16591;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 11";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (418698.38178186 5911879.54957154)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";418698,38;5911879,55
"14";14;"Spree-Neiße";"Drebkau";"2";"2";"5722435.06916442";"446455.24920212";3761;"EE";"2014";"LBK Dechsel";3761;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Drebkau 2";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (446455.24920212 5722435.06916442)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend <30";"n";"LAUSITZER BECKEN UND HEIDELAND";"Cottbusser Sandplatte";446455,25;5722435,07
"15";15;"Ostprignitz-Ruppin";"Dreetz";"8";"8";"5850044.08681315";"323939.95015955";10548;"EE";"2015";"LBK Dechsel";10548;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dreetz 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (323939.95015955 5850044.08681315)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";323939,95;5850044,09
"16";16;"Uckermark";"Eickstedt";"4";"4";"5907121.26977453";"435933.43586858";16653;"EE";"2016";"LBK Dechsel";16653;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Eickstedt 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435933.43586858 5907121.26977453)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";435933,44;5907121,27
"17";17;"Uckermark";"Eickstedt";"5";"5";"5907241.22283875";"435834.47673806";16654;"EE";"2017";"LBK Dechsel";16654;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Eickstedt 5";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435834.47673806 5907241.22283875)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";435834,48;5907241,22
"18";18;"Uckermark";"Falkenhagen";"8";"8";"5913578.87501297";"418198.59979832";16717;"EE";"2018";"LBK Dechsel";16717;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenhagen 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (418198.59979832 5913578.87501297)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";418198,6;5913578,88
"19";19;"Frankfurt (Oder)";"Frankfurt";"69";"69";"5799324.06771131";"467477.66036464";6331;"EE";"2019";"LBK Dechsel";6331;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Frankfurt 69";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;"Einzel-/Lesefunde";NA;NA;"Point (467477.66036464 5799324.06771131)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"OSTBRANDENBURGISCHE PLATTE";"Lebusplatte";467477,66;5799324,07
"20";20;"Frankfurt (Oder)";"Frankfurt";"108";"108";"5797839.66394371";"467277.72444412";6357;"EE";"2020";"LBK Dechsel";6357;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Frankfurt 108";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;"Einzel-/Lesefunde";NA;NA;"Point (467277.72444412 5797839.66394371)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"überwiegend versiegelt und verbreitet Bodenzahlen <30";"n/v";"OSTBRANDENBURGISCHE PLATTE";"Lebusplatte";467277,72;5797839,66
