"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"Bodenabt_1";"EL.Elevati";"X";"Y"
"11";11;"Uckermark";"Bruessow";"67";"67";"5919326.33824594";"440489.74319084";16446;"EE";"2011";"LBK Dechsel";16446;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 67";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440489.74319084 5919326.33824594)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";56,63;NA;-5,77513;8,00038;2,40157;248,87743;6;3;3;0,86263;11,10542;0,4709;3;1;1;1,44157;1,3102;NA;440489,74;5919326,34
"12";12;"Uckermark";"Dedelow";"5";"5";"5912679.21794293";"419797.95038076";16585;"EE";"2012";"LBK Dechsel";16585;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 5";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (419797.95038076 5912679.21794293)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";51,51;NA;20,70538;16,69656;12,85183;58,54293;6;22;NA;0,7678;9,58254;1,13702;NA;NA;NA;NA;NA;NA;419797,95;5912679,22
"13";13;"Uckermark";"Dedelow";"11";"11";"5911879.54957154";"418698.38178186";16591;"EE";"2013";"LBK Dechsel";16591;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 11";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (418698.38178186 5911879.54957154)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";62,18;NA;0,24591;21,90229;0,56721;303,74512;1;3;3;0,79641;12,14107;2,16014;NA;NA;NA;NA;NA;NA;418698,38;5911879,55
"14";14;"Spree-Neiße";"Drebkau";"2";"2";"5722435.06916442";"446455.24920212";3761;"EE";"2014";"LBK Dechsel";3761;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Drebkau 2";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (446455.24920212 5722435.06916442)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";90,54;NA;-7,54882;2,37984;1,93643;354,03253;6;21;NA;0,89447;12,95389;1,73893;NA;NA;NA;NA;NA;NA;446455,25;5722435,07
"15";15;"Ostprignitz-Ruppin";"Dreetz";"8";"8";"5850044.08681315";"323939.95015955";10548;"EE";"2015";"LBK Dechsel";10548;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dreetz 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (323939.95015955 5850044.08681315)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";25,34;0,28425;0,42661;0,16182;0,16514;334,74792;5;2;2;0,97579;22,23186;0,19413;5;1;2;4,85738;4,89418;NA;323939,95;5850044,09
"16";16;"Uckermark";"Eickstedt";"4";"4";"5907121.26977453";"435933.43586858";16653;"EE";"2016";"LBK Dechsel";16653;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Eickstedt 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435933.43586858 5907121.26977453)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";57,42;NA;1,46295;18,96992;8,95475;37,60807;1;23;NA;0,72627;7,37595;2,0511;2;4;3;15,89681;7,28315;NA;435933,44;5907121,27
"17";17;"Uckermark";"Eickstedt";"5";"5";"5907241.22283875";"435834.47673806";16654;"EE";"2017";"LBK Dechsel";16654;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Eickstedt 5";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435834.47673806 5907241.22283875)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";56,16;NA;-0,03093;17,34038;9,79792;95,74033;1;22;NA;0,78267;9,11655;1,02591;2;1;2;4,79311;3,3485;NA;435834,48;5907241,22
"18";18;"Uckermark";"Falkenhagen";"8";"8";"5913578.87501297";"418198.59979832";16717;"EE";"2018";"LBK Dechsel";16717;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenhagen 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (418198.59979832 5913578.87501297)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";51,06;NA;-3,80388;4,88093;NA;186,65123;6;3;3;0,89395;11,749;0,96956;3;1;2;3,69484;2,82409;NA;418198,6;5913578,88
"19";19;"Frankfurt (Oder)";"Frankfurt";"69";"69";"5799324.06771131";"467477.66036464";6331;"EE";"2019";"LBK Dechsel";6331;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Frankfurt 69";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (467477.66036464 5799324.06771131)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";60,61;NA;2,9671;6,44785;4,09634;137,64668;6;22;NA;0,85652;12,26709;1,46375;NA;NA;NA;NA;NA;NA;467477,66;5799324,07
"20";20;"Frankfurt (Oder)";"Frankfurt";"108";"108";"5797839.66394371";"467277.72444412";6357;"EE";"2020";"LBK Dechsel";6357;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Frankfurt 108";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (467277.72444412 5797839.66394371)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";69,47;NA;-2,21352;1,93245;1,86325;84,88791;6;22;NA;0,84911;10,68762;3,25474;NA;NA;NA;NA;NA;NA;467277,72;5797839,66
"21";21;"Potsdam-Mittelmark";"Glindow";"4";"4";"5804165.93809214";"355640.86931734";15426;"HH";"2021";"LBK Dechsel";15426;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Glindow 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (355640.86931734 5804165.93809214)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";68,35;NA;0,72219;30,71186;21,45932;153,56546;1;23;NA;0,63489;4,64122;3,57628;5;NA;2;NA;4,15492;NA;355640,87;5804165,94
"22";22;"Uckermark";"Gruenow bei Schoenermark";"15";"15";"5886643.44514739";"437602.54967258";502;"FV";"2022";"LBK Dechsel";502;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Gruenow bei Schoener";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (437602.54967258 5886643.44514739)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";11,87;NA;4,61835;0,80457;0,55184;35,22477;2;2;2;0,9351;17,19075;3,7771;1;1;1;2,03956;1,77235;NA;437602,55;5886643,45
