,KREIS,GEMEINDE,FUNDPLATZN,Fundart,FID,BUNDESLAND,QUELLE,FST,MATERIALUF,BEMERKUNG,kultur2,NAME_HAUPT,NAME_UNTER,X,Y,quelle_georef,QID_quelle_georef,katalognr,fst_id,fst_name,gemeinde,kreis,bundesland,land,perio.do,kultur,entdeckung,QID_entdeckung,publikation_arch,QID_publikation,fundstellenart,QID_fundstellenart,genauigkeit_m,methode,quellen_typ,methodenbeschr,wgs84_x,wgs84_y,dating_start,dating_certainty_start,dating_end,dating_certainty_end,dating_method,dating_certainty_range,dating_perio.do,dating_perio.do_match
35,Uckermark,Prenzlau,17725,EE,2035,Brandenburg,© Denkmaldaten / BLDAM 2021,Prenzlau 174,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,89","53,29",© Denkmaldaten / BLDAM 2021,Q897952,17725,,Prenzlau 174,Prenzlau,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,89","53,29",-5170,+/- 100 Jahre,-4870,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
36,Uckermark,Roepersdorf,17808,EE,2036,Brandenburg,© Denkmaldaten / BLDAM 2021,Roepersdorf 19,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,84","53,29",© Denkmaldaten / BLDAM 2021,Q897952,17808,,Roepersdorf 19,Roepersdorf,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,84","53,29",-5169,+/- 100 Jahre,-4869,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
37,Uckermark,Schoenermark OW,807,EE,2037,Brandenburg,© Denkmaldaten / BLDAM 2021,Schoenermark OW 11,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,07","53,11",© Denkmaldaten / BLDAM 2021,Q897952,807,,Schoenermark OW 11,Schoenermark OW,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,07","53,11",-5168,+/- 100 Jahre,-4868,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
38,Uckermark,Schoenermark NWU,17910,EE,2038,Brandenburg,© Denkmaldaten / BLDAM 2021,Schoenermark NWU 11,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,74","53,34",© Denkmaldaten / BLDAM 2021,Q897952,17910,,Schoenermark NWU 11,Schoenermark NWU,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,74","53,34",-5167,+/- 100 Jahre,-4867,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
39,Uckermark,Schoenwerder,17975,EE,2039,Brandenburg,© Denkmaldaten / BLDAM 2021,Schoenwerder 26,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,84","53,36",© Denkmaldaten / BLDAM 2021,Q897952,17975,,Schoenwerder 26,Schoenwerder,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,84","53,36",-5166,+/- 100 Jahre,-4866,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
40,Brandenburg (Havel),Schmerzke,26321,EE,2040,Brandenburg,© Denkmaldaten / BLDAM 2021,Schmerzke 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN,Brandenburg-Potsdamer Havelgebiet,"12,56","52,38",© Denkmaldaten / BLDAM 2021,Q897952,26321,,Schmerzke 1,Schmerzke,Brandenburg (Havel),Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","12,56","52,38",-5165,+/- 100 Jahre,-4865,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
41,Dahme-Spreewald,Schulzendorf,10273,EE,2041,Brandenburg,© Denkmaldaten / BLDAM 2021,Schulzendorf 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN,Teltowplatte,"13,59","52,37",© Denkmaldaten / BLDAM 2021,Q897952,10273,,Schulzendorf 1,Schulzendorf,Dahme-Spreewald,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,59","52,37",-5164,+/- 100 Jahre,-4864,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
42,Uckermark,Schwaneberg,18022,EE,2042,Brandenburg,© Denkmaldaten / BLDAM 2021,Schwaneberg 39,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,12","53,34",© Denkmaldaten / BLDAM 2021,Q897952,18022,,Schwaneberg 39,Schwaneberg,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,12","53,34",-5163,+/- 100 Jahre,-4863,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
43,Oberspreewald-Lausitz,Senftenberg,31688,EE,2043,Brandenburg,© Denkmaldaten / BLDAM 2021,Senftenberg 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,OBERLAUSITZER HEIDELAND,Muskauer Heide,14,"51,52",© Denkmaldaten / BLDAM 2021,Q897952,31688,,Senftenberg 1,Senftenberg,Oberspreewald-Lausitz,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte",14,"51,52",-5162,+/- 100 Jahre,-4862,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
44,Uckermark,Strehlow,18133,EE,2044,Brandenburg,© Denkmaldaten / BLDAM 2021,Strehlow 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,85","53,22",© Denkmaldaten / BLDAM 2021,Q897952,18133,,Strehlow 1,Strehlow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,85","53,22",-5161,+/- 100 Jahre,-4861,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
